    INFO: 2025-06-25 18:37:31,806:               log.py:   20: Logging to C:\Users\hales\crewaistory\mdpdf.log
   DEBUG: 2025-06-25 18:37:31,806:               cli.py:  103: story.md
    INFO: 2025-06-25 18:37:31,814:         converter.py:   14: story.md
   DEBUG: 2025-06-25 18:37:31,826:      pdf_renderer.py:  470: printSegment: Echoes of the Void
   DEBUG: 2025-06-25 18:37:31,845:      pdf_renderer.py:  470: printSegment: Chapter 1: Departure
   ERROR: 2025-06-25 18:37:31,857:      pdf_renderer.py:  217: C:\Users\hales\crewaistory\story.md:4: C:%5CUsers%5Chales%5Ccrewaistory%5Cchapter_1_awakening_in_orbit.png: No such file or directory
   DEBUG: 2025-06-25 18:37:31,864:      pdf_renderer.py:  470: printSegment: The Odyssey stood ready, a beacon of humanity
   DEBUG: 2025-06-25 18:37:31,867:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2025-06-25 18:37:31,912:      pdf_renderer.py:  470: printSegment: s relentless pursuit of the unknown, as Captain Elara Vance gazed
   DEBUG: 2025-06-25 18:37:31,935:      pdf_renderer.py:  470: printSegment: at her crew assembled in the main hall. Mid-40s, with a lifetime of exploration etched into her confident demeanor,
   DEBUG: 2025-06-25 18:37:31,944:      pdf_renderer.py:  470: printSegment: Elara embodied the spirit of adventure that propelled humanity into the stars. Beside her, First Officer Liam Kane,
   DEBUG: 2025-06-25 18:37:31,947:      pdf_renderer.py:  470: printSegment: his late 30s belying an extensive engineering background, watched the crew with a mixture of pride and
   DEBUG: 2025-06-25 18:37:31,949:      pdf_renderer.py:  470: printSegment: apprehension.
   DEBUG: 2025-06-25 18:37:31,949:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2025-06-25 18:37:31,951:      pdf_renderer.py:  470: printSegment: Today, we embark on a journey beyond the charts of known space, into the heart of the Void,
   DEBUG: 2025-06-25 18:37:31,951:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2025-06-25 18:37:31,952:      pdf_renderer.py:  470: printSegment:  Elara began, her
   DEBUG: 2025-06-25 18:37:31,953:      pdf_renderer.py:  470: printSegment: voice steady. 
   DEBUG: 2025-06-25 18:37:31,953:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2025-06-25 18:37:31,957:      pdf_renderer.py:  470: printSegment: The risks are great, but so are the rewards. We carry with us the hope of uncovering new knowledge,
   DEBUG: 2025-06-25 18:37:31,959:      pdf_renderer.py:  470: printSegment: for the betterment of all humanity.
   DEBUG: 2025-06-25 18:37:31,959:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2025-06-25 18:37:31,968:      pdf_renderer.py:  470: printSegment: Liam exchanged looks with Elara, admiration and a silent promise of unwavering support in his eyes. Yet, beneath
   DEBUG: 2025-06-25 18:37:31,969:      pdf_renderer.py:  470: printSegment: the surface, his pragmatic nature surfaced, whispering reminders of the dangers they would face.
   DEBUG: 2025-06-25 18:37:31,970:      pdf_renderer.py:  470: printSegment: As The Odyssey
   DEBUG: 2025-06-25 18:37:31,971:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2025-06-25 18:37:31,974:      pdf_renderer.py:  470: printSegment: s engines roared to life, Elara and Liam stood side by side, guiding their crew into the vast,
   DEBUG: 2025-06-25 18:37:31,974:      pdf_renderer.py:  470: printSegment: uncharted darkness of the Void.
